espn_id,name,full_name,jersey,position,position_name,height,weight,age,team_name,team_abbr,headshot_url,experience_years,salary,years_remaining,draft_year,draft_round,draft_selection
4602025,Sion James,Sion James,4,G,Guard,"6' 5""",220 lbs,23.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/4602025.png,1.0,2411090.0,3.0,2025.0,2.0,33.0
4576060,Ryan Kalkbrenner,Ryan Kalkbrenner,11,C,Center,"7' 1""",256 lbs,24.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/4576060.png,1.0,2411090.0,3.0,2025.0,2.0,34.0
5061575,Kon Knueppel,Kon Knueppel,7,G,Guard,"6' 6""",215 lbs,21.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/5061575.png,1.0,10516560.0,3.0,2025.0,1.0,4.0
5239590,Liam McNeeley,Liam McNeeley,33,G,Guard,"6' 7""",210 lbs,20.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/5239590.png,1.0,2902080.0,3.0,2025.0,1.0,29.0
4433287,Brandon Miller,Brandon Miller,24,F,Forward,"6' 7""",200 lbs,23.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/4433287.png,3.0,15104625.0,1.0,2023.0,1.0,2.0
2583632,Royce O'Neale,Royce O'Neale,,F,Forward,"6' 6""",226 lbs,33.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/2583632.png,9.0,11375000.0,2.0,,,
4396971,Naz Reid,Naz Reid,,C,Center,"6' 9""",264 lbs,27.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/4396971.png,7.0,23275862.0,4.0,,,
5211176,Tidjane Salaun,Tidjane Salaun,31,F,Forward,"6' 10""",207 lbs,21.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/5211176.png,2.0,8237880.0,2.0,2024.0,1.0,6.0
3032979,Dennis Schroder,Dennis Schroder,,G,Guard,"6' 1""",175 lbs,33.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/3032979.png,14.0,14809200.0,1.0,2013.0,1.0,17.0
5281370,Hannes Steinbach,Hannes Steinbach,,F,Forward,"6' 10""",248 lbs,20.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/5281370.png,0.0,,,2026.0,1.0,14.0
4395651,Coby White,Coby White,3,G,Guard,"6' 4""",195 lbs,26.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/4395651.png,7.0,,,2019.0,1.0,7.0
4066218,Grant Williams,Grant Williams,2,F,Forward,"6' 7""",236 lbs,27.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/4066218.png,7.0,14265750.0,1.0,2019.0,1.0,22.0
5105555,Tobe Awaka,Tobe Awaka,,F,Forward,"6' 8""",255 lbs,22.0,Chicago Bulls,CHI,,0.0,,,,,
4711294,Matas Buzelis,Matas Buzelis,14,F,Forward,"6' 8""",209 lbs,21.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4711294.png,2.0,5715360.0,3.0,2024.0,1.0,11.0
4278067,Nic Claxton,Nic Claxton,,C,Center,"6' 11""",215 lbs,27.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4278067.png,7.0,23147727.0,2.0,2019.0,2.0,31.0
4066650,Zach Collins,Zach Collins,12,F,Forward,"6' 9""",250 lbs,28.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4066650.png,9.0,,,2017.0,1.0,10.0
4684275,Rob Dillingham,Rob Dillingham,7,G,Guard,"6' 2""",175 lbs,21.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4684275.png,2.0,6889320.0,2.0,2024.0,1.0,8.0
5242496,Noa Essengue,Noa Essengue,24,F,Forward,"6' 11""",206 lbs,19.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/5242496.png,1.0,5701200.0,3.0,2025.0,1.0,12.0
4871145,Josh Giddey,Josh Giddey,3,G,Guard,"6' 7""",216 lbs,23.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4871145.png,5.0,25000000.0,3.0,2021.0,1.0,6.0
4395626,Tre Jones,Tre Jones,30,G,Guard,"6' 1""",185 lbs,26.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4395626.png,6.0,8000000.0,2.0,2020.0,2.0,41.0
4397071,Mac McClung,Mac McClung,5,G,Guard,"6' 2""",185 lbs,27.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4397071.png,4.0,,,,,
