PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH,SEASON
1628370,"Monk, Malik",Malik Monk,1,2017,2026,malik_monk,malik_monk,1610612758,Sacramento,Kings,SAC,kings,kings,Y,01,2025-26
1630541,"Moody, Moses",Moses Moody,1,2021,2026,moses_moody,moses_moody,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,01,2025-26
1631111,"Moore Jr., Wendell",Wendell Moore Jr.,1,2022,2026,wendell_moore,wendell_moore_jr,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,11,2025-26
1631457,"Morales, Alex",Alex Morales,1,2025,2026,alex_morales,alex_morales,1610612753,Orlando,Magic,ORL,magic,magic,Y,11,2025-26
1629630,"Morant, Ja",Ja Morant,1,2019,2026,ja_morant,ja_morant,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00,2025-26
1628420,"Morris, Monte",Monte Morris,0,2017,2025,monte_morris,monte_morris,0,,,,,,Y,01,2025-26
1630530,"Murphy III, Trey",Trey Murphy III,1,2021,2026,trey_murphy_iii,trey_murphy_iii,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,01,2025-26
1627749,"Murray, Dejounte",Dejounte Murray,1,2016,2026,dejounte_murray,dejounte_murray,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,01,2025-26
1627750,"Murray, Jamal",Jamal Murray,1,2016,2026,jamal_murray,jamal_murray,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00,2025-26
1631099,"Murray, Keegan",Keegan Murray,1,2022,2026,keegan_murray,keegan_murray,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00,2025-26
1631200,"Murray, Kris",Kris Murray,1,2023,2026,kris_murray,kris_murray,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,01,2025-26
1642867,"Murray-Boyles, Collin",Collin Murray-Boyles,1,2025,2026,collin_murray-boyles,collin_murray-boyles,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00,2025-26
